编码:            -------------   399005   ----------

日期        总成交量 总成交额   O        C        H        L        涨幅   沪股通   深股通
2017.01.04(周三)  399005   7055万     1087.58亿     6513.77   6600.20    6600.20    6507.57   -13.5亿  +6.30亿  放量大涨.光头光脚. 底部启动迹象.

2017.01.03(周二)  399005   5376万     833.04亿元    6492.00   6510.90    6521.51    6489.90   -5.82亿  +6.15亿  震荡微涨.底部

2016.12.30(周五)  399005   5086万     802.13亿元    6476.13   6472.23    6498.02    6458.39   -2.00亿  +3.00亿  震荡微涨.很弱

2016.12.29(周四)  399005   5365万     834.71亿元    6484.94   6470.37    6507.30    6465.69   -3.25亿  +3.49亿  震荡微跌.很弱

2016.12.28(周三)  399005   5388万     825.59亿元    6512.39   6492.37    6522.84    6482.38   -7.85亿  +3.85亿  震荡微跌.很弱

2016.12.27(周二)  399005   5226万     835.62亿元    6530.47   6510.43    6539.65    6507.26   -----亿  +3.90亿  震荡微跌.港股圣诞节放假

2016.12.26(周一)  399005   5413万     852.76亿元    6479.56   6521.26    6521.26    6403.11   -----亿  +3.90亿  早盘因为股指期货松绑吓尿,探底反弹.收涨

2016.12.23(周五)  399005   5632万     893.95亿元    6549.28   6497.71    6553.93    6493.40   -----亿  +3.90亿  震荡收跌. 很弱.

2016.12.22(周四)  399005   5959万     909.82亿元    6548.19   6543.94    6557.69    6510.17   -8.49亿  +3.90亿  震荡减弱微跌. 开始寻找方向.

2016.12.21(周三)  399005   6364万     981.14亿元    6508.18   6544.35    6549.46    6508.11   -1.51亿  +3.66亿  震荡减弱收涨. 开始寻找方向.

2016.12.20(周二)  399005   5898万     887.27亿元    6513.75   6496.57    6517.44    6472.09   -26.4亿  +1.70亿  缩量震荡收跌.  沪股通资金大幅流出.

2016.12.19(周一)  399005   6338万     934.07亿元    6543.84   6514.10    6547.32    6506.67   -9.82亿  +4.82亿  震荡收跌.  消化上周一的大跌.

2016.12.16(周五)  399005   6979万     1046.12亿元   6501.16   6543.18    6563.60    6493.12   +3.58亿  +9.33亿  上涨. 反弹力度和量能都不够,趋势未变化 

2016.12.15(周四)  399005   6838万     1033.44亿元   6469.79   6503.86    6553.83    6462.24   -1.95亿  +7.59亿  震荡微涨. 美加息落地.0.25%

2016.12.14(周三)  399005   7046万     1080.47亿元   6546.81   6493.11    6548.20    6475.24   +1.26亿  +8.74亿  震荡收跌. 等美加息落地.

2016.12.13(周二)  399005   7060万     1091.12亿元   6516.14   6550.17    6567.00    6466.29   +4.93亿  +12.5亿  探低反弹微涨. 等美加息落地.

2016.12.12(周一)  399005   9790万     1501.44亿元   6828.32   6526.36    6828.40    6518.15   -1.17亿  +12.3亿  黑色星期一.放量暴跌.IPO, 美加息.

2016.12.09(周五)  399005   6744万     1082.71亿元   6870.13   6831.71    6879.63    6819.28   -2.23亿  +4.23亿  震荡收跌. 调整. 

2016.12.08(周四)  399005   6653万     1094.02亿元   6908.02   6877.19    6908.75    6871.38   +6.46亿  +17.1亿  震荡微跌. 调整. 

2016.12.07(周三)  399005   6604万     1063.79亿元   6851.79   6890.18    6890.18    6834.58   +2.16亿  +17.8亿  震荡微涨.

2016.12.06(周二)  399005   6234万     1017.91亿元   6849.31   6855.36    6875.89    6837.02   -3.97亿  +19.4亿  震荡微涨.

2016.12.05(周一)  399005   6743万     1075.77亿元   6814.89   6832.56    6888.69    6804.79   -13.9亿  +27.1亿  低开反弹震荡回落微跌.刘士余引发

2016.12.01(周四)  399005   6702万     1094.34亿元   6916.45   6931.15    6931.15    6901.86   +10.5亿           震荡微涨. 量能回落. 底部特征

2016.11.30(周三)   中小板399005    7031万       1138.36亿元    6907.67   6902.10    6944.55    6886.70   +11.7亿  震荡微跌. 量能回落. 主板调整.八二

2016.11.29(周二)   中小板399005    8251万       1346.13亿元    6926.31   6922.47    6973.10    6917.19   +10.9亿  震荡微跌. 量能稍放大. 沪强深弱.二八

2016.11.28(周一)   中小板399005    7768万       1289.39亿元    6946.37   6934.94    6961.66    6922.50   +14.7亿  震荡微涨

2016.11.25(周五)   中小板399005    8419万       1399.48亿元    6888.39   6921.69    6921.69    6798.25   +17.7亿  探底反弹收涨, 光头,  强势 *****

http://www.xuan6.com/jiaoyu/2016/0916/363357.html
2016.11.24(周四)   中小板399005    8910万       1506.96亿元    6927.31   6891.44    6931.98    6877.23   +9.32亿  量能回落震荡微跌.沪指冲高回落,站稳3200.

